postID,title,description,date,group
36,Thị trường BĐS Việt Nam có tín hiệu phục hồi ở nhiều phân khúc,Gần 50% nhà đầu tư Hà Nội quan tâm căn hộ TP.HCM; BĐS công nghiệp và bán lẻ được dự báo bứt phá năm 2025; Phía Tây Hà Nội và Bình Dương thu hút đầu tư; BĐS nghỉ dưỡng dần 'tan băng' nhưng nhà đầu tư còn thận trọng.,2025-02-28T16:00:00+07:00,Bất động sản
37,"Ngân hàng Việt Nam đồng loạt giảm lãi suất, tung gói vay ưu đãi","Theo chỉ đạo NHNN, các ngân hàng tiếp tục giảm lãi suất huy động (thêm Bac A Bank, Saigonbank, VIB dưới 6%), Vietinbank cao nhất 4.8%; Lãi vay kết nối NH-DN TP.HCM chỉ khoảng 4%/năm (gói 517.065 tỷ); Eximbank (3.68%), VPBank (5.2%) tung gói vay mua nhà lãi suất thấp.",2025-02-28T16:00:00+07:00,Tài chính
38,Giá vàng chịu áp lực từ USD mạnh và chính sách thuế,"Giá vàng thế giới chạm đáy 2 tuần do USD mạnh và chờ dữ liệu lạm phát, ghi nhận tuần lỗ đầu tiên năm 2025 do nhà đầu tư chốt lời sau tin thuế của Trump, kéo giá vàng trong nước giảm mạnh; tổng tháng 2/2025 giá vàng thế giới vẫn tăng 2,2%.",2025-02-28T16:00:00+07:00,Hàng hóa
39,Giá dầu biến động mạnh do căng thẳng địa chính trị và chính sách,"Giá dầu tăng hơn 2% do Mỹ thu hồi giấy phép của Chevron tại Venezuela và lo ngại nguồn cung, Nga cấm xuất khẩu xăng 6 tháng từ 1/3; tuy nhiên, giá dầu tháng 2/2025 giảm lần đầu sau 3 tháng do lo ngại tăng trưởng.",2025-02-28T16:00:00+07:00,Hàng hóa
40,"Căng thẳng thương mại Mỹ - Trung leo thang, ảnh hưởng toàn cầu","Tổng thống Trump tuyên bố áp thuế 10% lên hàng Trung Quốc, 25% lên Mexico và Canada từ 4/3; Trung Quốc phản đối, cam kết trả đũa và cáo buộc Mỹ 'tống tiền' bằng ma túy, gây lo ngại chiến tranh thương mại và ảnh hưởng cổ phiếu hàng hóa.",2025-02-28T16:00:00+07:00,Thế giới
41,Cổ phiếu HPG bị khối ngoại bán ròng mạnh nhất thị trường,"Trong phiên giao dịch cuối tháng 2, cổ phiếu HPG của Tập đoàn Hòa Phát bị khối ngoại bán ròng mạnh nhất với giá trị gần 116 tỷ đồng.",2025-02-28T16:00:00+07:00,Thị trường
42,"Thị trường có dấu hiệu sôi động, giao dịch nhà đất TP.HCM tăng, đất nền Đà Nẵng tăng giá","Thu thuế phí BĐS tại TP.HCM tăng mạnh 2 tháng đầu năm, đất nền Đà Nẵng tăng giá hàng tháng, nhà đầu tư Hà Nội quan tâm căn hộ TP.HCM, Quảng Ninh mở bán 135 căn NOXH giá từ 285 triệu.",2025-03-01T16:00:00+07:00,Bất động sản
43,"Việt Nam đặt mục tiêu tăng trưởng cao, thúc đẩy hạ tầng và FDI","Chuyên gia hiến kế đạt mục tiêu tăng trưởng 8%, nhấn mạnh vai trò kinh tế tư nhân, đầu tư công vào hạ tầng (tăng 40% năm 2025), và thu hút FDI (cam kết ""3 bảo đảm"" với Nhật Bản).",2025-03-01T16:00:00+07:00,Kinh tế
44,Loạt dự án hạ tầng giao thông được thúc đẩy,"Quốc lộ 51 dự kiến nâng cấp thành cao tốc đô thị, Hà Nội đẩy nhanh GPMB Vành đai 2.5, mở rộng đường Nguyễn Tuân, cầu Đồng Việt nối Bắc Giang - Hải Dương sắp thông xe kỹ thuật, Phú Quốc đầu tư 3.200 tỷ làm đường ven biển.",2025-03-01T16:00:00+07:00,Kinh tế
45,"Lãi suất huy động tiếp tục giảm, có thể nhích nhẹ nhưng không quá lớn","Một số ngân hàng giảm lãi suất huy động theo chỉ đạo, chuyên gia dự báo mặt bằng lãi suất có thể nhích lên nhưng không nhiều do ưu tiên tăng trưởng kinh tế.",2025-03-01T16:00:00+07:00,Tài chính
46,"7 doanh nghiệp chốt quyền trả cổ tức tiền mặt tuần 3-7/3, cao nhất 20%","PDN trả cổ tức cao nhất 20%, DHC trả thấp nhất 10% trong tuần tới.",2025-03-01T16:00:00+07:00,Thị trường
47,"Kinh tế Mỹ đối mặt khó khăn quý I/2025, chi tiêu giảm, thâm hụt thương mại kỷ lục","Chi tiêu tiêu dùng Mỹ giảm lần đầu sau gần 2 năm vào tháng 1/2025, thâm hụt thương mại hàng hóa tăng kỷ lục do doanh nghiệp nhập khẩu tránh thuế, Fed có thể giữ nguyên lãi suất.",2025-03-01T16:00:00+07:00,Thế giới
48,"ACB Securities trở thành cổ đông lớn của VIB, Ocean Bank đổi tên thành MBV","Công ty Chứng khoán ACB sở hữu 1,002% vốn VIB, trong khi Ngân hàng MTV Việt Nam Hiện Đại (MBV) công bố nhận diện thương hiệu mới thay thế Ocean Bank từ 1/3.",2025-03-01T16:00:00+07:00,Tài chính
49,"Bitcoin biến động mạnh, giảm dưới 80.000 USD rồi hồi phục vượt 85.000 USD","Giá Bitcoin giảm mạnh sau chiến thắng bầu cử của ông Trump nhưng sau đó phục hồi, trong bối cảnh có những bình luận trái chiều từ tỷ phú Michael Saylor (""đừng bán Bitcoin"") và cựu CEO Binance (dự đoán 1 triệu USD).",2025-03-01T16:00:00+07:00,Thế giới
50,Căng thẳng Mỹ - Ukraine leo thang sau cuộc gặp nảy lửa tại Nhà Trắng,"Tổng thống Trump yêu cầu Tổng thống Zelensky rời Nhà Trắng, hủy ký kết thỏa thuận khoáng sản và họp báo chung sau cuộc trao đổi căng thẳng, ông Trump sau đó nêu điều kiện nối lại đàm phán.",2025-03-01T16:00:00+07:00,Thế giới
51,"Cần khung pháp lý cho tài sản số, Việt Nam nên tiếp cận thận trọng","Các chuyên gia nhấn mạnh sự cần thiết của việc phối hợp đồng bộ giữa các bộ ngành để xây dựng khung pháp lý vững chắc cho quản lý tài sản số và tiền số, bảo vệ nhà đầu tư và ổn định tài chính.",2025-03-01T16:00:00+07:00,Tài chính
52,"Khối ngoại bán ròng hơn 2.700 tỷ đồng tuần cuối tháng 2, STB bị xả mạnh, FPT, HPG cũng bị bán","Khối ngoại tiếp tục bán ròng mạnh trên cả ba sàn, tập trung vào STB, FPT, HPG, trong khi MWG và VNM được mua ròng trở lại.",2025-03-01T16:00:00+07:00,Thị trường
53,"Tỷ giá USD tăng, NHNN nâng tỷ giá trung tâm lên 24.726 đồng","Đồng USD tiếp tục đà phục hồi trên thị trường quốc tế, NHNN tăng tỷ giá trung tâm thêm 30 đồng vào sáng 1/3.",2025-03-01T16:00:00+07:00,Tài chính
54,"Ông Trump dọa áp thuế 10% lên Trung Quốc, cân nhắc thuế với Mexico/Canada, thúc giục đồng minh áp thuế tương tự","Động thái của Tổng thống Trump gây chao đảo thị trường toàn cầu, dấy lên lo ngại chiến tranh thương mại leo thang, ảnh hưởng đến các nền kinh tế như Hàn Quốc và làm phức tạp thêm bức tranh thương mại vốn đã u ám bởi chủ nghĩa bảo hộ.",2025-03-01T16:00:00+07:00,Thế giới
55,"VN-Index vượt 1.300 điểm, tăng 6 tuần liên tiếp, chờ bứt phá nhờ vĩ mô","Thị trường chứng khoán Việt Nam ghi nhận tuần tăng điểm thứ 6, chinh phục mốc 1.300 với thanh khoản tốt, các quỹ mở cổ phiếu khởi đầu năm 2025 khả quan, chuyên gia lạc quan về tháng 3.",2025-03-01T16:00:00+07:00,Thị trường
56,"Việt Nam có thể được nâng hạng sớm nhất vào tháng 9/2025, FTSE Russell ấn tượng với định hướng phát triển","SHS dự báo việc nâng hạng TTCK Việt Nam có thể diễn ra sớm nhất vào kỳ đánh giá tháng 9/2025, trong khi đại diện FTSE Russell bày tỏ ấn tượng tích cực về các giải pháp và định hướng phát triển thị trường.",2025-03-01T16:00:00+07:00,Thị trường
57,Nhiều chính sách mới có hiệu lực từ tháng 3/2025,"Các quy định về miễn lệ phí trước bạ ô tô điện đến 28/2/2027, xuất khẩu gạo, quản lý thuế doanh nghiệp, tạm hoãn xuất cảnh cá nhân nợ thuế từ 50 triệu đồng, và phân cấp lại các đơn vị thuộc Bộ Tài chính chính thức có hiệu lực.",2025-03-01T16:00:00+07:00,Kinh tế
58,"Giá dầu giảm ngày 1/3 do căng thẳng Mỹ-Ukraine, thuế quan và tháng 2 ghi nhận tháng giảm đầu tiên từ T11/2024","Giá dầu thế giới quay đầu giảm do căng thẳng địa chính trị và lo ngại thương chiến, Wood Mackenzie dự báo giá Brent trung bình năm 2025 là 73 USD/thùng.",2025-03-01T16:00:00+07:00,Hàng hóa
59,"Giá nông sản ngày 1/3 đồng loạt giảm, cà phê mất 500đ/kg, lúa gạo giảm 100đ/kg","Giá cà phê trong nước giảm còn 128.000-130.000 đ/kg, giá hồ tiêu và lúa tươi cũng giảm nhẹ, thị trường lúa gạo giao dịch chậm.",2025-03-01T16:00:00+07:00,Hàng hóa
60,Giá thép tăng mạnh sau lệnh áp thuế chống bán phá giá HRC,Nhiều doanh nghiệp thép điều chỉnh tăng giá bán sau khi có quyết định áp thuế chống bán phá giá tạm thời với thép cán nóng HRC nhập khẩu.,2025-03-01T16:00:00+07:00,Hàng hóa
61,"Giá vàng trong nước mất mốc 91 triệu đồng/lượng, thế giới ghi nhận tuần giảm mạnh nhất từ tháng 11/2024","Giá vàng trong nước giảm tới 700.000 đồng/lượng xuống dưới 91 triệu, cùng chiều với giá thế giới giảm hơn 1% xuống mức thấp nhất 2 tuần do USD mạnh và áp lực chốt lời, dù tháng 2 vẫn tăng 2.2%.",2025-03-01T16:00:00+07:00,Hàng hóa
62,"Thị trường chững lại, chung cư giảm giá vẫn khó bán","Chung cư Hà Nội giảm giá hàng trăm triệu đồng/căn nhưng thanh khoản thấp, đầu tư chung cư không còn giữ ""ngôi vương"", đất nền vùng ven khó lướt sóng do giá cao; đề xuất lập ""Quỹ nhà ở quốc gia"" để phát triển nhà giá rẻ.",2025-03-02T16:00:00+07:00,Bất động sản
63,Xuất khẩu hải sản và cơ hội nhập khẩu từ Anh qua CPTPP,"Nhật Bản, Mỹ, Trung Quốc, Hàn Quốc, EU là 5 thị trường xuất khẩu hải sản lớn nhất của Việt Nam tháng 1/2025; việc Anh gia nhập CPTPP mở cơ hội nhập khẩu hàng hóa, công nghệ chất lượng cao từ Anh.",2025-03-02T16:00:00+07:00,Kinh tế
64,"Kinh tế Nhật Bản, Hàn Quốc đối mặt thách thức và chuyển đổi","Thương mại Nhật Bản với Nga suy giảm, nước này cân nhắc tăng thuế du lịch; số doanh nghiệp mới tại Hàn Quốc giảm xuống mức thấp nhất từ 2016, người dân ngại khởi nghiệp, kinh tế chuyển dịch sang đầu tư tài chính.",2025-03-02T16:00:00+07:00,Thế giới
65,"Cảnh báo lừa đảo trực tuyến, tiền ảo ngày càng tinh vi","Ngân hàng liên tục cảnh báo các hình thức lừa đảo tinh vi; nhiều gia đình mất tiền tỷ do bẫy lừa tình, đầu tư tiền ảo; chuyên gia mách cách phát hiện cuộc gọi deepfake.",2025-03-02T16:00:00+07:00,Tài chính
66,"Tỷ giá USD tăng tuần, NHNN công bố tỷ giá trung tâm mới","Đồng USD tăng tuần mạnh mẽ, Ngân hàng Nhà nước công bố tỷ giá trung tâm sáng 2/3 ở mức 24.726 đồng, tăng 88 đồng so với cuối tuần trước.",2025-03-02T16:00:00+07:00,Tài chính
67,"Giá nông sản, xăng dầu, heo hơi biến động","Giá hồ tiêu tăng 1.000-2.000đ/kg, cà phê giảm (cao nhất 129.500đ/kg), gạo tăng nhẹ; giá xăng dầu thế giới giảm tuần/tháng; giá heo hơi tiếp tục tăng cao chạm mức 81.000 đồng/kg.",2025-03-02T16:00:00+07:00,Hàng hóa
68,"Châu Âu xử lý tài sản Nga bị phong tỏa, tăng hỗ trợ Ukraine","Châu Âu đối mặt bài toán sử dụng 198 tỷ USD tài sản Nga bị phong tỏa; Anh tính dùng lợi nhuận tài sản này hỗ trợ khoản vay 2,84 tỷ USD cho Ukraine; Italy cam kết 13 triệu euro cho quỹ năng lượng Ukraine.",2025-03-02T16:00:00+07:00,Thế giới
69,"Hoàn thiện khung pháp lý tài sản số, tiền số và kiểm soát lãi suất","Thủ tướng yêu cầu Bộ Tài chính, NHNN trình khung pháp lý tài sản số, tiền số trong tháng 3; nghiêm cấm ngân hàng tự do tăng lãi suất không theo định hướng, tăng cường thanh tra, giám sát.",2025-03-02T16:00:00+07:00,Tài chính
70,"Ngành ngân hàng 2025 - Phân hóa, cơ hội và thách thức","Triển vọng ngành ngân hàng 2025 có sự phân hóa, cổ phiếu ngân hàng vẫn hấp dẫn nhưng cần chọn lọc; lo ngại chất lượng tài sản ở ngân hàng nhỏ; các ngân hàng tung gói vay ưu đãi lãi suất cho người trẻ mua nhà.",2025-03-02T16:00:00+07:00,Tài chính
71,Vietcombank (VCB) mở rộng hoạt động dịch vụ thanh toán,"Ngân hàng Nhà nước chấp thuận bổ sung hoạt động cho Vietcombank (VCB), mở rộng phạm vi cung cấp dịch vụ thanh toán cho khách hàng cá nhân và tổ chức.",2025-03-02T16:00:00+07:00,Tài chính
72,Gia hạn miễn lệ phí trước bạ 0% cho ô tô điện đến năm 2027,Chính phủ tiếp tục áp dụng lệ phí trước bạ 0% đối với ô tô điện chạy pin thêm 2 năm (từ 1/3/2025 đến 28/2/2027) nhằm thúc đẩy thị trường và giao thông xanh.,2025-03-02T16:00:00+07:00,Kinh tế
73,Giao dịch biệt thự VHM 136 tỷ gây chú ý,Môi giới chốt thành công căn biệt thự trị giá 136 tỷ đồng tại dự án Vinhomes Global Gate (Vinhomes - VHM) Đông Anh sau 5 ngày căng thẳng.,2025-03-02T16:00:00+07:00,Bất động sản
74,Sôi động đấu giá đất và dự án lớn tại các tỉnh ven Hà Nội,"Bắc Ninh đấu giá 52 lô đất khởi điểm 11 triệu/m2, Thanh Oai đấu giá 54 thửa đất giá trúng cao nhất 90,33 triệu/m2, Vingroup, Sun Group, T&T để mắt tới Bắc Ninh; Quảng Ninh sắp có sân golf gần 2.000 tỷ tại Uông Bí.",2025-03-02T16:00:00+07:00,Bất động sản
75,ASEAN và BRICS - Tìm kiếm chiến lược trong thế giới đa cực,Sự quan tâm của các quốc gia Đông Nam Á đối với BRICS cho thấy sự điều chỉnh chiến lược nhằm ứng phó với sự phức tạp và không chắc chắn của thế giới đa cực.,2025-03-02T16:00:00+07:00,Thế giới
76,"Giá vàng biến động mạnh, dự báo trái chiều","Giá vàng được thúc đẩy bởi bất ổn, lạm phát và nhu cầu từ NHTW nhưng đã giảm sau 8 tuần tăng, đối mặt nguy cơ điều chỉnh sâu hơn về 2.600 USD, dù có dự báo lên 3.000 - 3.300 USD/ounce.",2025-03-02T16:00:00+07:00,Hàng hóa
